{'item_0': [2.0, 256.0, 25.0, 35.0], 'item_1': [50.0, 70.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.012216329574584961'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::to         0.82%     191.000us        28.19%       6.550ms       3.275ms     238.000us         1.01%       6.301ms       3.151ms      22.85 Mb           0 b           0 b           0 b             2  
                                        ToCopyBackward0         0.77%     180.000us        28.97%       6.730ms       3.365ms     142.000us         0.60%       6.443ms       3.221ms      22.85 Mb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         0.48%     111.000us         9.93%       2.307ms       2.307ms     117.000us         0.50%       2.298ms       2.298ms           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.50%     115.000us        10.43%       2.422ms       2.422ms     112.000us         0.47%       2.410ms       2.410ms     -15.23 Mb     -15.23 Mb           0 b           0 b             1  
                                        aten::ones_like         0.90%     208.000us        29.06%       6.752ms       6.752ms       3.000us         0.01%       6.624ms       6.624ms           0 b           0 b      30.47 Mb           0 b             1  
                             UpsampleNearest2DBackward1         0.16%      38.000us         0.88%     204.000us     204.000us       3.000us         0.01%     411.000us     411.000us           0 b           0 b       7.62 Mb           0 b             1  
                                       aten::empty_like         0.43%     101.000us        27.74%       6.444ms       6.444ms       2.000us         0.01%       6.047ms       6.047ms           0 b           0 b      30.47 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.13%      30.000us         0.31%      71.000us      71.000us       2.000us         0.01%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         0.22%      51.000us         1.10%     255.000us     255.000us       1.000us         0.00%     412.000us     412.000us           0 b           0 b       7.62 Mb           0 b             1  
                                         CloneBackward0         0.18%      41.000us         0.18%      41.000us      41.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -60.94 Mb     -60.94 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 23.232ms
Self CUDA time total: 23.615ms

{'item_0': [32.0, 64.0, 16.0, 12.0], 'item_1': [False], 'item_2': [2.0], 'item_3': ['nearest'], 'item_4': ['None'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.004612922668457031'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        27.04%       1.047ms        27.04%       1.047ms     523.500us       1.015ms        25.89%       1.015ms     507.500us           0 b           0 b           0 b           0 b             2  
                                             aten::add_        12.76%     494.000us        12.76%     494.000us     494.000us     483.000us        12.32%     483.000us     483.000us           0 b           0 b           0 b           0 b             1  
                               aten::upsample_nearest2d         6.53%     253.000us         6.53%     253.000us     253.000us     445.000us        11.35%     445.000us     445.000us           0 b           0 b       6.72 Mb       6.72 Mb             1  
